;;1;3;4;5;6;7;9;10;12;13;16;17;18;21;29;30;33;34;36;37;38;40;41;43;44;47;48;50;51;52;55;59;101;124;125;151;164;179;190;192;193;195;196;199;201;204;229;242;256
;;Törvény szerinti illetmények munkabérek;Céljuttatás projektprémium;Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat;Végkielégítés;Jubileumi jutalom;Béren kívüli juttatások;Közlekedési költségtérítés;Egyéb költségtérítések;Szociális támogatások;Foglalkoztatottak egyéb személyi juttatásai;Választott tisztségviselők juttatásai;Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások;Egyéb külső személyi juttatások;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;Szakmai anyagok beszerzése;Üzemeltetési anyagok beszerzése;Informatikai szolgáltatások igénybevétele;Egyéb kommunikációs szolgáltatások;Közüzemi díjak;Vásárolt élelmezés;Bérleti és lízing díjak;Karbantartási kisjavítási szolgáltatások;Közvetített szolgáltatások;Szakmai tevékenységet segítő szolgáltatások;Egyéb szolgáltatások;Kiküldetések kiadásai;Reklám és propagandakiadások;Működési célú előzetesen felszámított általános forgalmi adó;Fizetendő általános forgalmi adó;Kamatkiadások;Egyéb pénzügyi műveletek kiadásai;Egyéb dologi kiadások;Egyéb nem intézményi ellátások;A helyi önkormányzatok előző évi elszámolásából származó kiadások;A helyi önkormányzatok törvényi előíráson alapuló befizetései;Egyéb működési célú támogatások államháztartáson belülre;Működési célú visszatérítendő támogatások kölcsönök nyújtása államháztartáson kívülre;Egyéb működési célú támogatások államháztartáson kívülre;Tartalékok;Immateriális javak beszerzése létesítése;Ingatlanok beszerzése létesítése;Informatikai eszközök beszerzése létesítése;Egyéb tárgyi eszközök beszerzése létesítése;Beruházási célú előzetesen felszámított általános forgalmi adó;Ingatlanok felújítása;Felújítási célú előzetesen felszámított általános forgalmi adó;Egyéb felhalmozási célú támogatások államháztartáson belülre;Felhalmozási célú visszatérítendő támogatások kölcsönök nyújtása államháztartáson kívülre;Egyéb felhalmozási célú támogatások államháztartáson kívülre
31060;Bűnmegelőzés;0;0;0;0;0;0;0;0;0;0;0;0;11000000;2200000;0;0;0;0;0;0;0;0;0;0;213948729;0;0;57766157;0;0;0;0;0;0;0;20000000;0;155752000;6171000;0;0;0;8195179;2212698;0;0;0;0;0
41233;Hosszabb időtartamú közfoglalkoztatás;2500000;0;0;0;0;0;0;0;0;2500000;0;0;0;1100000;0;0;0;0;0;0;0;0;0;0;20000000;0;0;4077000;0;0;0;0;0;0;0;0;0;2764214;0;0;0;0;0;0;0;0;0;0;0
42180; Állat-egészségügy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1075591;0;0;74409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45120;Út, autópálya építése;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11771654;500000000;0;0;135000000;0;0;0;0;0;0;0;0;0;138210633;0;0;39370079;0;0;10629921;0;0;0;0;0
45170;Parkoló, garázs üzemeltetése, fenntartása;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;864000000;0;0;233280000;138780000;0;0;0;0;0;0;0;0;0;0;0;7874016;0;0;2125984;0;0;0;0;0
46040;Hírügynökségi, információs szolgáltatás;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3937008;1062992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61030;Lakáshoz jutást segítő támogatások;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000000;301000000
62020;Településfejlesztési projektek és támogatásuk;0;0;0;0;0;0;0;0;0;0;0;11002889;0;2349394;0;1072191;0;0;0;0;0;0;0;737008;3811024;1264370;0;1858841;0;0;0;0;0;0;0;0;0;0;0;0;15968504;0;0;4311496;0;0;0;0;0
64010;Közvilágítás;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66010;Zöldterület-kezelés;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4330709;0;0;1100000000;0;0;298169291;0;0;0;0;0;0;0;0;0;331705519;0;0;0;0;0;0;0;0;0;0;0
